step,rsa_attn,rsa_mlp,rsa_resid
0,0.010821360213335523,0.02801612456135427,0.03763503437300002
1,0.010821360213335523,0.02801612456135427,0.03763503437300002
2,0.01080840399460901,0.028024901035544024,0.03765316606316585
4,0.010648084048596955,0.02771110103090961,0.03806926430023595
8,0.010945599971330341,0.02800531400940504,0.04009522621558859
16,0.011771223431853035,0.03216701777198329,0.042604969311998114
32,0.024678849551905208,0.014537943071839896,0.016937910008225407
64,-0.004021796465403088,0.003587617221099331,0.011461000459147537
128,-0.004276145431817954,-0.0014856328037134118,0.001941238664665522
256,0.009540138971449745,-0.0050491385524868565,-0.011863498253933546
512,0.017350144099399445,0.02891040869919176,0.026714396374407638
1000,0.053068732438881515,0.06886510961148956,0.05382140289919742
2000,0.06030418519170038,0.09370247832978046,0.13365250855945224
3000,0.04012317359647134,0.1009234885080489,0.15042830186122252
5000,0.0875242090902186,0.1295805942590478,0.1759606350279496
7000,0.07822794950425808,0.1747755959138859,0.2219194667868878
10000,0.07386953427552753,0.15210408354673616,0.27306041592117575
15000,0.18499433208569296,0.21439301058986893,0.3158628012312447
20000,0.24667305132121498,0.2424934710763059,0.3072465850096322
30000,0.22832148243642716,0.24242131129799607,0.3649047232838419
40000,0.23348085638700705,0.2767431348105658,0.3441461237995186
50000,0.13222619298607075,0.2765434781899354,0.35099902876747185
60000,0.25125846163488064,0.30931690720774674,0.41792018138603526
70000,0.18030562278355705,0.2876006719196525,0.3507691708285663
80000,0.21802127921197728,0.3363633672298346,0.40216318489295
90000,0.2648828314157558,0.2926813378529633,0.36601322432740335
100000,0.1779079363111739,0.2736545684311666,0.36846086504372133
110000,0.3040972122821769,0.1930641938009283,0.37064530393434036
120000,0.23539747899664534,0.16720747344115394,0.3625447068647286
130000,0.3282472500735422,0.2258892679640122,0.33457359740384884
143000,0.3416603952615891,0.20823643803546313,0.363179075302369
