step,rsa_attn,rsa_mlp,rsa_resid
0,0.011766550667496174,0.02997308524059246,-0.0018530003393061414
1,0.011766550667496174,0.02997308524059246,-0.0018530003393061414
2,0.011763381902147384,0.029980641346449084,-0.001851545127000167
4,0.011794369743680757,0.029996703177818333,-0.001802611631960505
8,0.013792750291777966,0.028036410533777516,0.000994880359500398
16,0.013197749981441824,0.022845885006319292,0.0061243613559158324
32,0.007251272340795721,0.01039604213462791,0.002055586181959647
64,0.018871303907227428,0.03313146796709381,0.01630706895014168
128,-0.004928999907314175,-0.0006610686762456569,0.0014375136570471765
256,-0.002021930653875419,0.02161011893456426,0.019681035723030312
512,0.015403841572923613,0.07257917833685694,0.053031741112312125
1000,0.014411406319663145,0.06798292045353313,0.09323113046139507
2000,0.005557447696317145,0.0944169182977826,0.17413972442535255
3000,0.007640406351055773,0.12745349392389732,0.2266616259712724
5000,0.04305827327330352,0.23471479364790848,0.3293339693695396
7000,0.04398157253444687,0.3256461103156899,0.3807378447990518
10000,-0.0013151383054423025,0.29967622084255857,0.4027841521985763
15000,0.04250373721431221,0.4053388887949263,0.45614100956317805
20000,0.038677063771981324,0.43880865418363474,0.45438328583999843
30000,0.04097486727315621,0.47025969583514127,0.509515276236731
40000,0.06563539926312562,0.4851114012137372,0.4955922905135655
50000,0.0099807232068972,0.49088861265975603,0.531238423386513
60000,0.08498605269682964,0.46674090205797547,0.5298075177202837
70000,0.07106848380221455,0.5044217540489966,0.5489695903101831
80000,0.05905150031624832,0.5420358506410954,0.5534819484219533
90000,0.07858773846779002,0.5218887818528073,0.5543304218052981
100000,0.10135022216373164,0.5128023351782162,0.5682207962666496
110000,0.060766550618209444,0.5324612743176562,0.5756998473712934
120000,0.09093454650410546,0.5035136214131252,0.5662211681022175
130000,0.09500943695822743,0.5124728011014592,0.5709466164292665
143000,0.09547662006641593,0.5040917082580643,0.577088253306857
